Party,User,Hashtag
PP,pp_m_a,EnLaBuenaDireccion
PP,Alex_spuk,GoogleAlerts
PP,immaasweet,PPcontraPP
PP,danyvoit1,EnLaBuenaDireccion
PP,XaviEscufi,PP
PP,XaviEscufi,PSOE
PP,joderquedificil,socialmedia
PP,VOLTEANDOLOCURA,somos15M
PP,silvipg78,MarcaEspana
PP,EnricRoigMontag,PleTortosa
PP,MCarmenCastilo,ConCañete
PP,cafecatala12,Actualitat
PP,blader809,blader809
PP,paisvascotv,EuskadiAlDía
PP,CorrupcionZero,EnLaBuenaDireccion
PP,sola_elena,MeMeo
PP,sola_elena,SoisLaPolla
PP,tasionite,ÉaHoraDoPobo
PP,tasionite,HaiQueParalos
PP,isabelvega,TasaTobin
PP,Mikelangi,PP
PP,Mikelangi,PSOE
PP,SASam1714,cajaB
PP,SASam1714,Genova13
PP,SASam1714,Bárcenas
PP,EncarniRincon,PlenoRincón
PP,EncarniRincon,PP
PP,arnaudeivissa,PPcontraPP
PP,VctorGevict,votaaotros
PP,blader809,blader809
PP,elricdog,crispación
PP,FrancoFJavier,Chipiona
PP,JuanElBellota,socialmedia
PP,Doridd11,PPcontraPP
PP,EspinaPaco,CIS
PP,aglo1961,25M
PP,palmcf,PP
PP,palmcf,Verguenza
PP,Emmanuel_x8,Abc
PP,Emmanuel_x8,YaysiTeAmo
PP,AlternativaGZ,ÉaHoraDoPobo
PP,AlternativaGZ,HaiQueParalos
PP,ARTERO1981,alas3enantena3
PP,eulaliavives,crispación
PP,jlarinobuil,divendrestv3
PP,SantoJob2012,BajaElParo
PP,SantoJob2012,Enchufados
PP,SantoJob2012,MarcaEspana
PP,SantoJob2012,España
PP,nolcor1,Europees
PP,economia_feed_0,Tasa
PP,economia_feed_0,Tobin
PP,economia_feed_0,cambio
PP,GMSGuadaira,aborto
PP,GMSGuadaira,PP
PP,GMSGuadaira,mujeres
PP,GMSGuadaira,AlcaladeGuadaira
PP,YensyFresz,yє
PP,YensyFresz,yє
PP,Futuroenergia,España
PP,elsextotuitero,ABC
PP,8_j0n_8,jajaja
PP,GueteG,PPcontraPP
PP,YensyFresz,yє
PP,YensyFresz,yє
PP,ManoloQuiros,LeyGC
PP,Enric666,crispación
PP,LegalToday,actualidad
PP,yago_r93,MeMeo
PP,yago_r93,SoisLaPolla
PP,economia_feed_0,PP
PP,economia_feed_0,Tasa
PP,economia_feed_0,Tobin
PP,economia_feed_0,cambio
PP,LlopisSoto,ABC
PP,Laura_pp,yoconfieso
PP,AVLAMAURINA,DretsiDignitat
PP,AVLAMAURINA,democràciaotroika
PP,tabata666,tróspido
PP,tabata666,socialmedia
PP,Erasmus1989,Europeas2014
PP,Erasmus1989,EuroUPyD
PP,Erasmus1989,EuropaCs
PP,Erasmus1989,Primaveraeuropea
PP,Josepar,PP
PP,Josepar,Verguenza
PP,klf129,pp
PP,ddestabastu,EspazoLuzes
PP,alnourhallal,Rajoy
PP,alnourhallal,PP
PP,kiko1968kiko,PPcontraPP
PP,pepebravoc,socialmedia
PP,BDEstrany,noticias
PP,ricardsole63,crispación
PP,aglo1961,EPA
PP,aglo1961,INEM
PP,aglo1961,Rajoy
PP,aglo1961,PP
PP,alnourhallal,VotaDiferente
PP,alnourhallal,Reinicia
PP,aglo1961,Rajoy
PP,aglo1961,Bárcenas
PP,aglo1961,PP
PP,BeatrizFSanz,TasaTobin
PP,martiserrano,crispación
PP,Oficialhonesto1,LeyGC
PP,juliolazarza,socialmedia
PP,ElCuartelillo,PP
PP,alnourhallal,25M
PP,psoedehuelva,LaPalmaCdo
PP,yubemora,LITCHEPUNTOCOM
PP,Igrei82,PP
PP,Igrei82,desigualdad
PP,marcosobes,EspazoLuzes
PP,byhappy63,somos15M
PP,byhappy63,SiSePuede
PP,byhappy63,elpoderdelagente
PP,EspeVizueteMonj,PPcontraPP
PP,rakelilla79,socialmedia
PP,flypanther77,crispación
PP,Larru89,GoogleAlerts
PP,d_alman,PPcontraPP
PP,ilovepadel,PPcontraPP
PP,Luisfer_san,PPcontraPP
PP,SpainTelevision,lasexta
PP,Radheck1,PPcontraPP
PP,Mariquetavaz,violenciadegenero
PP,InmaVelascoJuez,PP
PP,InmaVelascoJuez,PSOE
PP,Albii_dd,MeMeo
PP,Albii_dd,SoisLaPolla
PP,Diime_isaac,IsaacAcosta
PP,tabata666,socialmedia
PP,echao_palante,PutoPP
PP,dolomorato,Rajoy
PP,dolomorato,PP
PP,ruben_mn91,MeMeo
PP,ruben_mn91,SoisLaPolla
PP,eduardcabus,Europees
PP,XavierSanfeliu,crispación
PP,gelodroxtria,BajaElParo
PP,gelodroxtria,Enchufados
PP,gelodroxtria,MarcaEspana
PP,gelodroxtria,España
PP,violetapuales,EspazoLuzes
PP,cdmedrano,PP
PP,cdmedrano,JUSTICIA
PP,iuarcos,PPcontraPP
PP,AsunVillaverde,Aragón
PP,AsunVillaverde,Rudi
PP,DoriLuque,Fiesta
PP,DoriLuque,Naranja
PP,DoriLuque,Coin
PP,JuditDalmau,crispación
PP,Supertoastt,PPcontraPP
PP,Mini_Link,socialmedia
PP,EduCandel,PPcontraPP
PP,CalTolla,crispación
PP,martinhonoriega,EspazoLuzes
PP,squashjordi,crispación
PP,hectorlisero,socialmedia
PP,RegistroCivil_,fiscal
PP,Cristian4103,somos15M
PP,Cristian4103,SiSePuede
PP,Cristian4103,elpoderdelagente
PP,hippie_roja,PP
PP,hippie_roja,VOX
PP,AsunVillaverde,PP
PP,CorrupcionZero,BajaElParo
PP,CorrupcionZero,Enchufados
PP,CorrupcionZero,MarcaEspana
PP,CorrupcionZero,España
PP,lamos2202,Badalona
PP,jesuspati,ElviraGarcía
PP,DonMitxel666,MarcaEspaña
PP,JavierGlez68,PP
PP,nMarcS,crispación
PP,Peicof_20,PP
